Total,Roll,Pitch,Yaw,,,,,new total
Total: 4685.43875442212,1696.889506,2687.187892,9672.238864, Mag 22, Accel 4, lowestaccel 8, lowestMag 21,7868.800227
Total: 4481.21716094312,1977.132388,2688.018474,8778.50062, Mag 44, Accel 3, lowestaccel 7, lowestMag 43,8033.30616
Total: 10634.4407056727,1449.493606,2689.994403,27763.83411, Mag 1, Accel 5, lowestaccel 5, lowestMag 1,9460.916463
Total: 4639.71049475526,1696.985345,2693.918398,9528.227741, Mag 23, Accel 4, lowestaccel 8, lowestMag 22,7867.946382
Total: 4471.6495482871,1976.942491,2694.003125,8744.003029, Mag 45, Accel 3, lowestaccel 7, lowestMag 44,8041.654795
Total: 9677.37110820787,1453.371915,2694.370864,24884.37055, Mag 2, Accel 5, lowestaccel 5, lowestMag 2,9185.213506
Total: 8849.90932451937,1456.72279,2699.493938,22393.51125, Mag 3, Accel 5, lowestaccel 5, lowestMag 3,8949.389512
Total: 4462.59668331741,1976.770173,2699.954588,8711.065288, Mag 46, Accel 3, lowestaccel 7, lowestMag 45,8050.108862
Total: 4462.59668331741,1976.770173,2699.954588,8711.065288, Mag 46, Accel 3, lowestaccel 3, lowestMag 46,8050.108862
Total: 4598.12487824597,1697.049753,2700.575045,9396.749837, Mag 24, Accel 4, lowestaccel 8, lowestMag 23,7868.169852
Total: 8148.88967224854,1459.622911,2705.225293,20281.82081, Mag 4, Accel 5, lowestaccel 5, lowestMag 4,8752.293287
Total: 4454.00475851746,1976.599186,2705.863843,8679.551246, Mag 47, Accel 3, lowestaccel 7, lowestMag 46,8058.622079
Total: 4560.18527608444,1697.092508,2707.155291,9276.308029, Mag 25, Accel 4, lowestaccel 8, lowestMag 24,7869.324642
Total: 7561.05013308953,1462.135133,2711.403892,18509.61137, Mag 5, Accel 5, lowestaccel 5, lowestMag 5,8589.69054
Total: 4445.87303402903,1976.445235,2711.77277,8649.401097, Mag 48, Accel 3, lowestaccel 7, lowestMag 47,8067.286361
Total: 4525.46363847807,1697.112517,2713.667081,9165.611318, Mag 26, Accel 4, lowestaccel 8, lowestMag 25,7871.296559
Total: 4438.15386896752,1976.299218,2717.652869,8620.50952, Mag 49, Accel 3, lowestaccel 7, lowestMag 48,8076.025986
Total: 7069.90786733818,1464.325343,2717.881947,17027.51631, Mag 6, Accel 5, lowestaccel 5, lowestMag 6,8456.408334
Total: 4493.60058723602,1697.115997,2720.118198,9063.567567, Mag 27, Accel 4, lowestaccel 4, lowestMag 27,7873.997549
Total: 4430.82823828173,1976.170426,2723.495216,8592.819073, Mag 50, Accel 3, lowestaccel 7, lowestMag 49,8084.825723
Total: 6659.34173756605,1466.23446,2724.532634,15787.25812, Mag 7, Accel 5, lowestaccel 5, lowestMag 7,8347.402093
Total: 4464.28188698645,1697.107017,2726.503625,8969.235019, Mag 28, Accel 4, lowestaccel 8, lowestMag 27,7877.327067
